timestamp,end_folder_Training_Size_dd_epochs,K_DL,Error_does_not_fit,Error_model_in_ram,input_features,num_layers,R,hidden_units_list,output_dim,patience,min_delta,max_epochs,initial_epoch,RAM_KB,Flash_MB,CLK_FREQ_MHZ,RAM_HW_KB,Flash_HW_MB,env_name,mean_norm,perc50_norm,perc95_norm,std_norm,mean_int8,perc50_int8,perc95_int8,std_int8,mean_invoke,perc50_invoke,perc95_invoke,std_invoke,mean_dequant,perc50_dequant,perc95_dequant,std_dequant,mean_extract,perc50_extract,perc95_extract,std_extract,mean_extract_fast,perc50_extract_fast,perc95_extract_fast,std_extract_fast,mean_tot_latency,perc50_tot_latency,perc95_tot_latency,std_tot_latency,mean_tot_latency_fast,perc50_tot_latency_fast,perc95_tot_latency_fast,std_tot_latency_fast,Rate_OPT_py_load_val,Rate_DL_py_load_val,Rate_OPT_py_load_test,Rate_DL_py_load_test,Rate_DL_py_load_test_tflite,Rate_DL_py_load_test_tflite_mcu,Indmax_OPT_py_load_test[0:5],Indmax_DL_py_load_test[0:5],Indmax_DL_py_load_test_tflite[0:5],Indmax_DL_py_load_test_tflite_mcu[0:5]
18-09-25--14:30,_seed0_grid1200_M3232_Mbar8_30000_ep200,64,0,0,1024,0,32,32 128 128,1024,4,0.001,200,200,49.895,1.090,400.000,512.000,2.000,nucleo-h753zi-o3                        ,28.977,29.000,29.000,0.337,77.581,78.000,78.000,0.575,14260.677,14261.000,14263.000,1.321,25.478,25.000,26.000,0.526,25.555,26.000,26.000,0.561,13.725,14.000,14.000,0.489,14418.271,14418.000,14421.000,1.671,14380.963,14381.000,14383.000,1.509,1.789,0.219,1.773,0.213,0.210,0.204,"[542, 542, 539, 543, 541]","[539, 539, 540, 539, 540]","[539, 539, 540, 539, 539]","[540, 540, 540, 540, 541]"
18-09-25--14:31,_seed0_grid1200_M3232_Mbar8_30000_ep200,64,0,1,1024,0,32,32 128 128,1024,4,0.001,200,200,49.895,1.090,400.000,512.000,2.000,nucleo-h753zi-o3-modelinram             ,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.789,0.219,1.773,0.213,0.210,0.000,"[542, 542, 539, 543, 541]","[539, 539, 540, 539, 540]","[539, 539, 540, 539, 539]","[0, 0, 0, 0, 0]"
09-25-15-35,_seed0_grid1200_M3232_Mbar8_30000_ep200,64,0,0,1024,1,32,32 128 128,1024,4,0.001,200,200,49.895,0.154,400.000,512.000,2.000,nucleo-h753zi-o3                        ,28.960,29.000,29.000,0.358,77.604,78.000,79.000,0.592,1042.332,1042.000,1045.000,1.426,25.277,25.000,26.000,0.467,25.736,26.000,26.000,0.512,13.749,14.000,14.000,0.517,1199.903,1200.000,1203.000,1.808,1162.638,1163.000,1165.000,1.645,1.789,1.654,1.773,1.649,1.643,0.186,"[542, 542, 539, 543, 541]","[541, 542, 539, 542, 541]","[541, 542, 539, 542, 541]","[540, 535, 536, 537, 533]"
09-25-15-39,_seed0_grid1200_M3232_Mbar8_30000_ep200,64,0,0,1024,1,32,32 128 128,1024,4,0.001,200,200,49.895,0.154,400.000,512.000,2.000,nucleo-h753zi-o3-modelinram             ,29.243,29.000,30.000,0.456,77.678,78.000,79.000,0.611,1010.454,1010.000,1013.000,1.441,25.330,25.000,26.000,0.490,25.744,26.000,26.000,0.511,13.740,14.000,14.000,0.529,1168.446,1168.000,1171.000,1.797,1131.112,1131.000,1134.000,1.658,1.789,1.654,1.773,1.649,1.643,0.186,"[542, 542, 539, 543, 541]","[541, 542, 539, 542, 541]","[541, 542, 539, 542, 541]","[540, 535, 536, 537, 533]"
09-25-15-43,_seed0_grid1200_M3232_Mbar8_30000_ep200,64,0,0,1024,2,32,32 128 128,1024,4,0.001,200,200,49.895,0.255,400.000,512.000,2.000,nucleo-h753zi-o3                        ,28.966,29.000,29.000,0.334,77.621,78.000,79.000,0.589,2431.506,2432.000,2434.000,1.507,25.441,25.000,26.000,0.521,25.805,26.000,26.000,0.484,13.743,14.000,14.000,0.525,2589.335,2589.000,2592.000,1.873,2551.832,2552.000,2554.000,1.724,1.789,1.768,1.773,1.751,1.750,0.184,"[542, 542, 539, 543, 541]","[542, 542, 539, 543, 541]","[542, 542, 539, 543, 541]","[540, 535, 536, 537, 533]"
09-25-15-47,_seed0_grid1200_M3232_Mbar8_30000_ep200,64,0,0,1024,2,32,32 128 128,1024,4,0.001,200,200,49.895,0.255,400.000,512.000,2.000,nucleo-h753zi-o3-modelinram             ,29.241,29.000,30.000,0.458,77.668,78.000,79.000,0.599,2365.186,2365.000,2367.000,1.525,25.387,25.000,26.000,0.516,25.804,26.000,26.000,0.485,13.734,14.000,14.000,0.525,2523.280,2523.000,2526.000,1.880,2485.823,2486.000,2488.000,1.746,1.789,1.768,1.773,1.751,1.750,0.184,"[542, 542, 539, 543, 541]","[542, 542, 539, 543, 541]","[542, 542, 539, 543, 541]","[540, 535, 536, 537, 533]"
09-25-15-51,_seed0_grid1200_M3232_Mbar8_30000_ep200,64,0,0,1024,3,32,32 128 128,1024,4,0.001,200,200,49.895,0.275,400.000,512.000,2.000,nucleo-h753zi-o3                        ,27.967,28.000,28.000,0.325,76.587,77.000,78.000,0.591,2668.952,2669.000,2671.000,1.560,24.464,24.000,25.000,0.532,24.824,25.000,25.000,0.474,12.749,13.000,13.000,0.521,2822.793,2823.000,2826.000,1.901,2786.254,2786.000,2789.000,1.753,1.789,1.775,1.773,1.762,1.761,0.181,"[542, 542, 539, 543, 541]","[542, 542, 539, 543, 541]","[542, 542, 539, 543, 541]","[540, 535, 536, 537, 533]"
09-25-15-54,_seed0_grid1200_M3232_Mbar8_30000_ep200,64,0,0,1024,3,32,32 128 128,1024,4,0.001,200,200,49.895,0.275,400.000,512.000,2.000,nucleo-h753zi-o3-modelinram             ,29.266,29.000,30.000,0.464,77.646,78.000,79.000,0.600,2596.562,2597.000,2599.000,1.591,25.405,25.000,26.000,0.519,25.819,26.000,26.000,0.472,13.745,14.000,14.000,0.531,2754.694,2755.000,2757.000,1.920,2717.215,2717.000,2720.000,1.792,1.789,1.775,1.773,1.762,1.761,0.181,"[542, 542, 539, 543, 541]","[542, 542, 539, 543, 541]","[542, 542, 539, 543, 541]","[540, 535, 536, 537, 533]"
09-25-15-58,_seed0_grid1200_M3232_Mbar8_30000_ep200,64,0,0,1024,1,8,128 512 512,1024,4,0.001,200,200,49.895,0.344,400.000,512.000,2.000,nucleo-h753zi-o3                        ,27.972,28.000,28.000,0.350,76.589,77.000,78.000,0.592,3693.572,3694.000,3696.000,1.529,24.424,24.000,25.000,0.523,24.792,25.000,25.000,0.492,12.756,13.000,13.000,0.519,3847.346,3848.000,3850.000,1.919,3810.885,3811.000,3813.000,1.760,1.789,1.774,1.773,1.752,1.752,0.184,"[542, 542, 539, 543, 541]","[542, 542, 539, 543, 541]","[542, 542, 539, 543, 541]","[540, 535, 535, 537, 533]"
09-25-16-02,_seed0_grid1200_M3232_Mbar8_30000_ep200,64,0,0,1024,1,8,128 512 512,1024,4,0.001,200,200,49.895,0.344,400.000,512.000,2.000,nucleo-h753zi-o3-modelinram             ,29.249,29.000,30.000,0.465,77.664,78.000,79.000,0.593,3590.492,3591.000,3593.000,1.588,25.362,25.000,26.000,0.505,25.774,26.000,26.000,0.497,13.742,14.000,14.000,0.533,3748.542,3749.000,3751.000,1.936,3711.148,3711.000,3714.000,1.797,1.789,1.774,1.773,1.752,1.752,0.184,"[542, 542, 539, 543, 541]","[542, 542, 539, 543, 541]","[542, 542, 539, 543, 541]","[540, 535, 535, 537, 533]"
09-25-16-07,_seed0_grid1200_M3232_Mbar8_30000_ep200,64,0,0,1024,2,8,128 512 512,1024,4,0.001,200,200,49.895,0.795,400.000,512.000,2.000,nucleo-h753zi-o3                        ,27.975,28.000,28.000,0.341,76.612,77.000,78.000,0.599,9926.359,9927.000,9929.000,1.789,24.456,24.000,25.000,0.518,24.833,25.000,25.000,0.475,12.736,13.000,13.000,0.532,10080.228,10080.000,10083.000,2.075,10043.676,10044.000,10047.000,1.943,1.789,1.782,1.773,1.765,1.765,0.184,"[542, 542, 539, 543, 541]","[542, 542, 539, 543, 541]","[542, 542, 539, 543, 541]","[540, 535, 536, 537, 533]"
09-25-16-08,_seed0_grid1200_M3232_Mbar8_30000_ep200,64,0,1,1024,2,8,128 512 512,1024,4,0.001,200,200,49.895,0.795,400.000,512.000,2.000,nucleo-h753zi-o3-modelinram             ,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.789,1.782,1.773,1.765,1.765,0.000,"[542, 542, 539, 543, 541]","[542, 542, 539, 543, 541]","[542, 542, 539, 543, 541]","[0, 0, 0, 0, 0]"
09-25-16-12,_seed0_grid1200_M3232_Mbar8_30000_ep200,64,0,0,1024,3,8,128 512 512,1024,4,0.001,200,200,49.895,1.059,400.000,512.000,2.000,nucleo-h753zi-o3                        ,28.972,29.000,29.000,0.335,77.574,78.000,78.000,0.570,13517.396,13517.000,13520.000,1.673,25.456,25.000,26.000,0.527,25.981,26.000,27.000,0.459,13.693,14.000,14.000,0.507,13675.385,13675.000,13678.000,1.973,13637.641,13638.000,13641.000,1.862,1.789,1.786,1.773,1.769,1.769,0.182,"[542, 542, 539, 543, 541]","[542, 542, 539, 543, 541]","[542, 542, 539, 543, 541]","[540, 535, 536, 537, 533]"
09-25-16-13,_seed0_grid1200_M3232_Mbar8_30000_ep200,64,0,1,1024,3,8,128 512 512,1024,4,0.001,200,200,49.895,1.060,400.000,512.000,2.000,nucleo-h753zi-o3-modelinram             ,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.789,1.786,1.773,1.769,1.769,0.000,"[542, 542, 539, 543, 541]","[542, 542, 539, 543, 541]","[542, 542, 539, 543, 541]","[0, 0, 0, 0, 0]"
09-25-16-15,_seed0_grid1200_M3232_Mbar8_30000_ep200,64,3,0,1024,1,1,1024 4096 4096,1024,4,0.001,200,200,0.000,-123984.000,400.000,512.000,2.000,nucleo-h753zi-o3                        ,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.789,1.783,1.773,1.768,1.767,0.000,"[542, 542, 539, 543, 541]","[542, 542, 539, 543, 541]","[542, 542, 539, 543, 541]","[0, 0, 0, 0, 0]"
09-25-16-15,_seed0_grid1200_M3232_Mbar8_30000_ep200,64,3,0,1024,1,1,1024 4096 4096,1024,4,0.001,200,200,0.000,-124176.000,400.000,512.000,2.000,nucleo-h753zi-o3-modelinram             ,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.789,1.783,1.773,1.768,1.767,0.000,"[542, 542, 539, 543, 541]","[542, 542, 539, 543, 541]","[542, 542, 539, 543, 541]","[0, 0, 0, 0, 0]"
09-25-16-17,_seed0_grid1200_M3232_Mbar8_30000_ep200,64,3,0,1024,2,1,1024 4096 4096,1024,4,0.001,200,200,0.000,-7579160.000,400.000,512.000,2.000,nucleo-h753zi-o3                        ,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.789,1.782,1.773,1.767,1.766,0.000,"[542, 542, 539, 543, 541]","[542, 542, 539, 543, 541]","[542, 542, 539, 543, 541]","[0, 0, 0, 0, 0]"
09-25-16-18,_seed0_grid1200_M3232_Mbar8_30000_ep200,64,3,0,1024,2,1,1024 4096 4096,1024,4,0.001,200,200,0.000,-7579352.000,400.000,512.000,2.000,nucleo-h753zi-o3-modelinram             ,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.789,1.782,1.773,1.767,1.766,0.000,"[542, 542, 539, 543, 541]","[542, 542, 539, 543, 541]","[542, 542, 539, 543, 541]","[0, 0, 0, 0, 0]"
09-25-16-20,_seed0_grid1200_M3232_Mbar8_30000_ep200,64,3,0,1024,3,1,1024 4096 4096,1024,4,0.001,200,200,0.000,-24471528.000,400.000,512.000,2.000,nucleo-h753zi-o3                        ,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.789,1.787,1.773,1.772,1.772,0.000,"[542, 542, 539, 543, 541]","[542, 542, 539, 543, 541]","[542, 542, 539, 543, 541]","[0, 0, 0, 0, 0]"
09-25-16-22,_seed0_grid1200_M3232_Mbar8_30000_ep200,64,3,0,1024,3,1,1024 4096 4096,1024,4,0.001,200,200,0.000,-24471720.000,400.000,512.000,2.000,nucleo-h753zi-o3-modelinram             ,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.789,1.787,1.773,1.772,1.772,0.000,"[542, 542, 539, 543, 541]","[542, 542, 539, 543, 541]","[542, 542, 539, 543, 541]","[0, 0, 0, 0, 0]"
09-25-11-27,_seed0_grid1200_M3232_Mbar8_30000_ep200,64,3,0,1024,0,32,32 128 128,1024,4,0.001,200,200,49.895,1.090,400.000,512.000,2.000,nucleo-h753zi-o3                        ,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.789,0.219,1.773,0.213,0.210,0.000,"[542, 542, 539, 543, 541]","[539, 539, 540, 539, 540]","[539, 539, 540, 539, 539]","[0, 0, 0, 0, 0]"
09-25-11-28,_seed0_grid1200_M3232_Mbar8_30000_ep200,64,3,0,1024,0,32,32 128 128,1024,4,0.001,200,200,49.895,1.090,400.000,512.000,2.000,nucleo-h753zi-o3-modelinram             ,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.789,0.219,1.773,0.213,0.210,0.000,"[542, 542, 539, 543, 541]","[539, 539, 540, 539, 540]","[539, 539, 540, 539, 539]","[0, 0, 0, 0, 0]"
